date,cloud_provider,cluster_name,number_of_ondemand_cpus,number_of_spot_cpus,total_cpu,total_cost_ondemand,total_cost_spot,total_cost,requested_cpu_ondemand,requested_cpu_spot,avg_cost_per_cpu,projected_cost,cost_per_requested_cpu,savings,report_generated,potential_savings_pct
2023-12-17,aws,k8s-stg-3-us-east-1,88,0,88,57.45910412,0.0,57.45910412,,,0.652944365,,,,2025-03-12 13:19:08,100.0
2023-12-18,aws,k8s-stg-3-us-east-1,88,0,88,72.842,0.0,72.842,,,0.82775,,,,2025-03-12 13:19:08,100.0
2023-12-19,aws,k8s-stg-3-us-east-1,88,0,88,69.194,0.0,69.194,,,0.7862954545454546,,,,2025-03-12 13:19:08,100.0
2023-12-20,aws,k8s-stg-3-us-east-1,88,0,88,74.083933504,0.0,74.083933504,,,0.8418628807272728,,,,2025-03-12 13:19:08,100.0
2023-12-21,aws,k8s-stg-3-us-east-1,88,0,88,70.234822752,0.0,70.234822752,,,0.7981229858181819,,,,2025-03-12 13:19:08,100.0
2023-12-22,aws,k8s-stg-3-us-east-1,80,0,80,37.152,0.0,37.152,,,0.46440000000000003,,,,2025-03-12 13:19:08,100.0
2023-12-23,aws,k8s-stg-3-us-east-1,80,0,80,36.192,0.0,36.192,,,0.4524,,,,2025-03-12 13:19:08,100.0
2023-12-24,aws,k8s-stg-3-us-east-1,80,0,80,34.848,0.0,34.848,,,0.4356,,,,2025-03-12 13:19:08,100.0
2023-12-25,aws,k8s-stg-3-us-east-1,80,0,80,33.253119744,0.0,33.253119744,,,0.41566399680000005,,,,2025-03-12 13:19:08,100.0
2023-12-26,aws,k8s-stg-3-us-east-1,80,0,80,36.0,0.0,36.0,,,0.45,,,,2025-03-12 13:19:08,100.0
2023-12-27,aws,k8s-stg-3-us-east-1,80,0,80,35.328,0.0,35.328,,,0.44160000000000005,,,,2025-03-12 13:19:08,100.0
2023-12-28,aws,k8s-stg-3-us-east-1,80,0,80,34.976769896,0.0,34.976769896,,,0.4372096237,,,,2025-03-12 13:19:08,100.0
2023-12-29,aws,k8s-stg-3-us-east-1,80,0,80,36.0,0.0,36.0,,,0.45,,,,2025-03-12 13:19:08,100.0
2023-12-30,aws,k8s-stg-3-us-east-1,80,0,80,34.7136,0.0,34.7136,,,0.43392,,,,2025-03-12 13:19:08,100.0
2023-12-31,aws,k8s-stg-3-us-east-1,80,0,80,36.384,0.0,36.384,,,0.4548,,,,2025-03-12 13:19:08,100.0
2024-01-01,aws,k8s-stg-3-us-east-1,80,0,80,37.536,0.0,37.536,,,0.4692,,,,2025-03-12 13:19:08,100.0
2024-01-02,aws,k8s-stg-3-us-east-1,80,0,80,32.544000000000004,0.0,32.544000000000004,,,0.40680000000000005,,,,2025-03-12 13:19:08,100.0
2024-01-03,aws,k8s-stg-3-us-east-1,80,0,80,35.232,0.0,35.232,,,0.4404,,,,2025-03-12 13:19:08,100.0
2024-01-04,aws,k8s-stg-3-us-east-1,80,0,80,38.304,0.0,38.304,,,0.4788,,,,2025-03-12 13:19:08,100.0
2024-01-05,aws,k8s-stg-3-us-east-1,80,0,80,34.848,0.0,34.848,,,0.4356,,,,2025-03-12 13:19:08,100.0
2024-01-06,aws,k8s-stg-3-us-east-1,80,0,80,37.626026496,0.0,37.626026496,,,0.47032533120000003,,,,2025-03-12 13:19:08,100.0
2024-01-07,aws,k8s-stg-3-us-east-1,80,0,80,37.536,0.0,37.536,,,0.4692,,,,2025-03-12 13:19:08,100.0
2024-01-08,aws,k8s-stg-3-us-east-1,80,0,80,34.464,0.0,34.464,,,0.43079999999999996,,,,2025-03-12 13:19:08,100.0
2024-01-09,aws,k8s-stg-3-us-east-1,80,0,80,36.0,0.0,36.0,,,0.45,,,,2025-03-12 13:19:08,100.0
2024-01-10,aws,k8s-stg-3-us-east-1,80,0,80,34.848,0.0,34.848,,,0.4356,,,,2025-03-12 13:19:08,100.0
2024-01-11,aws,k8s-stg-3-us-east-1,80,0,80,32.928000000000004,0.0,32.928000000000004,,,0.4116000000000001,,,,2025-03-12 13:19:08,100.0
2024-01-12,aws,k8s-stg-3-us-east-1,80,0,80,31.646293248000003,0.0,31.646293248000003,,,0.39557866560000005,,,,2025-03-12 13:19:08,100.0
2024-01-13,aws,k8s-stg-3-us-east-1,80,0,80,35.544320256000006,0.0,35.544320256000006,,,0.4443040032000001,,,,2025-03-12 13:19:08,100.0
2024-01-14,aws,k8s-stg-3-us-east-1,80,0,80,35.257599744000004,0.0,35.257599744000004,,,0.44071999680000007,,,,2025-03-12 13:19:08,100.0
2024-01-15,aws,k8s-stg-3-us-east-1,80,0,80,36.247893504000004,0.0,36.247893504000004,,,0.45309866880000005,,,,2025-03-12 13:19:08,100.0
2024-01-16,aws,k8s-stg-3-us-east-1,80,0,80,34.464,0.0,34.464,,,0.43079999999999996,,,,2025-03-12 13:19:08,100.0
2024-01-17,aws,k8s-stg-3-us-east-1,80,0,80,29.856,0.0,29.856,,,0.37320000000000003,,,,2025-03-12 13:19:08,100.0
2024-01-18,aws,k8s-stg-3-us-east-1,80,0,80,28.704,0.0,28.704,,,0.3588,,,,2025-03-12 13:19:08,100.0
2024-01-19,aws,k8s-stg-3-us-east-1,80,0,80,36.0,0.0,36.0,,,0.45,,,,2025-03-12 13:19:08,100.0
2024-01-20,aws,k8s-stg-3-us-east-1,80,0,80,34.08,0.0,34.08,,,0.426,,,,2025-03-12 13:19:08,100.0
2024-01-21,aws,k8s-stg-3-us-east-1,80,0,80,34.667092992,0.0,34.667092992,,,0.4333386624,,,,2025-03-12 13:19:08,100.0
2024-01-22,aws,k8s-stg-3-us-east-1,96,0,96,34.69536,0.0,34.69536,,,0.36141,,,,2025-03-12 13:19:08,100.0
2024-01-23,aws,k8s-stg-3-us-east-1,80,0,80,33.696,0.0,33.696,,,0.42119999999999996,,,,2025-03-12 13:19:08,100.0
2024-01-24,aws,k8s-stg-3-us-east-1,80,0,80,32.21184,0.0,32.21184,,,0.402648,,,,2025-03-12 13:19:08,100.0
2024-01-25,aws,k8s-stg-3-us-east-1,80,0,80,32.736000000000004,0.0,32.736000000000004,,,0.40920000000000006,,,,2025-03-12 13:19:08,100.0
2024-01-26,aws,k8s-stg-3-us-east-1,80,0,80,34.656000000000006,0.0,34.656000000000006,,,0.4332000000000001,,,,2025-03-12 13:19:08,100.0
2024-01-27,aws,k8s-stg-3-us-east-1,80,0,80,39.072,0.0,39.072,,,0.48840000000000006,,,,2025-03-12 13:19:08,100.0
2024-01-28,aws,k8s-stg-3-us-east-1,80,0,80,38.304,0.0,38.304,,,0.4788,,,,2025-03-12 13:19:08,100.0
2024-01-29,aws,k8s-stg-3-us-east-1,80,0,80,38.304,0.0,38.304,,,0.4788,,,,2025-03-12 13:19:08,100.0
2024-01-30,aws,k8s-stg-3-us-east-1,64,0,64,40.608000000000004,0.0,40.608000000000004,,,0.6345000000000001,,,,2025-03-12 13:19:08,100.0
2024-01-31,aws,k8s-stg-3-us-east-1,80,0,80,39.072,0.0,39.072,,,0.48840000000000006,,,,2025-03-12 13:19:08,100.0
2024-02-01,aws,k8s-stg-3-us-east-1,88,0,88,60.804171376,0.0,60.804171376,,,0.6909564929090909,,,,2025-03-12 13:19:08,100.0
2024-02-02,aws,k8s-stg-3-us-east-1,72,0,72,80.44800000000001,0.0,80.44800000000001,,,1.1173333333333335,,,,2025-03-12 13:19:08,100.0
2024-02-03,aws,k8s-stg-3-us-east-1,72,0,72,81.21600000000001,0.0,81.21600000000001,,,1.1280000000000001,,,,2025-03-12 13:19:08,100.0
2024-02-04,aws,k8s-stg-3-us-east-1,112,0,112,71.21097454,0.0,71.21097454,,,0.6358122726785714,,,,2025-03-12 13:19:08,100.0
2024-02-05,aws,k8s-stg-3-us-east-1,88,0,88,45.245639776,0.0,45.245639776,,,0.5141549974545454,,,,2025-03-12 13:19:08,100.0
2024-02-06,aws,k8s-stg-3-us-east-1,96,0,96,44.73057988800001,0.0,44.73057988800001,,,0.4659435405000001,,,,2025-03-12 13:19:08,100.0
2024-02-07,aws,k8s-stg-3-us-east-1,96,0,96,44.823120336,0.0,44.823120336,,,0.46690750350000004,,,,2025-03-12 13:19:08,100.0
2024-02-08,aws,k8s-stg-3-us-east-1,104,0,104,45.942,0.0,45.942,,,0.44175,,,,2025-03-12 13:19:08,100.0
2024-02-09,aws,k8s-stg-3-us-east-1,88,0,88,47.104,0.0,47.104,,,0.5352727272727272,,,,2025-03-12 13:19:08,100.0
2024-02-10,aws,k8s-stg-3-us-east-1,88,0,88,45.457319888,0.0,45.457319888,,,0.5165604532727273,,,,2025-03-12 13:19:08,100.0
2024-02-11,aws,k8s-stg-3-us-east-1,88,0,88,45.361000000000004,0.0,45.361000000000004,,,0.5154659090909092,,,,2025-03-12 13:19:08,100.0
2024-02-12,aws,k8s-stg-3-us-east-1,96,0,96,58.801,0.0,58.801,,,0.6125104166666667,,,,2025-03-12 13:19:08,100.0
2024-02-13,aws,k8s-stg-3-us-east-1,72,0,72,71.73,0.0,71.73,,,0.9962500000000001,,,,2025-03-12 13:19:08,100.0
2024-02-14,aws,k8s-stg-3-us-east-1,88,0,88,72.36,0.0,72.36,,,0.8222727272727273,,,,2025-03-12 13:19:08,100.0
2024-02-15,aws,k8s-stg-3-us-east-1,88,0,88,71.47800000000001,0.0,71.47800000000001,,,0.8122500000000001,,,,2025-03-12 13:19:08,100.0
2024-02-16,aws,k8s-stg-3-us-east-1,72,0,72,74.62800000000001,0.0,74.62800000000001,,,1.0365000000000002,,,,2025-03-12 13:19:08,100.0
2024-02-17,aws,k8s-stg-3-us-east-1,88,0,88,76.896,0.0,76.896,,,0.8738181818181818,,,,2025-03-12 13:19:08,100.0
2024-02-18,aws,k8s-stg-3-us-east-1,72,0,72,76.392,0.0,76.392,,,1.061,,,,2025-03-12 13:19:08,100.0
2024-02-19,aws,k8s-stg-3-us-east-1,72,0,72,76.89600000000002,0.0,76.89600000000002,,,1.0680000000000003,,,,2025-03-12 13:19:08,100.0
2024-02-20,aws,k8s-stg-3-us-east-1,88,0,88,76.89600000000002,0.0,76.89600000000002,,,0.8738181818181819,,,,2025-03-12 13:19:08,100.0
2024-02-21,aws,k8s-stg-3-us-east-1,88,0,88,76.896,0.0,76.896,,,0.8738181818181818,,,,2025-03-12 13:19:08,100.0
2024-02-22,aws,k8s-stg-3-us-east-1,88,0,88,76.89600000000002,0.0,76.89600000000002,,,0.8738181818181819,,,,2025-03-12 13:19:08,100.0
2024-02-23,aws,k8s-stg-3-us-east-1,88,0,88,76.89600000000002,0.0,76.89600000000002,,,0.8738181818181819,,,,2025-03-12 13:19:08,100.0
2024-02-24,aws,k8s-stg-3-us-east-1,72,0,72,76.89600000000002,0.0,76.89600000000002,,,1.0680000000000003,,,,2025-03-12 13:19:08,100.0
2024-02-25,aws,k8s-stg-3-us-east-1,88,0,88,76.89600000000002,0.0,76.89600000000002,,,0.8738181818181819,,,,2025-03-12 13:19:08,100.0
2024-02-26,aws,k8s-stg-3-us-east-1,96,0,96,73.066906888,0.0,73.066906888,,,0.7611136134166667,,,,2025-03-12 13:19:08,100.0
2024-02-27,aws,k8s-stg-3-us-east-1,64,0,64,65.93400000000001,0.0,65.93400000000001,,,1.0302187500000002,,,,2025-03-12 13:19:08,100.0
2024-02-28,aws,k8s-stg-3-us-east-1,72,0,72,66.816,0.0,66.816,,,0.928,,,,2025-03-12 13:19:08,100.0
2024-02-29,aws,k8s-stg-3-us-east-1,64,0,64,72.23400000000001,0.0,72.23400000000001,,,1.1286562500000001,,,,2025-03-12 13:19:08,100.0
2024-03-01,aws,k8s-stg-3-us-east-1,72,0,72,69.44022997200001,0.0,69.44022997200001,,,0.9644476385000001,,,,2025-03-12 13:19:08,100.0
2024-03-02,aws,k8s-stg-3-us-east-1,64,0,64,67.824,0.0,67.824,,,1.05975,,,,2025-03-12 13:19:08,100.0
2024-03-03,aws,k8s-stg-3-us-east-1,64,0,64,68.29369977600001,0.0,68.29369977600001,,,1.0670890590000002,,,,2025-03-12 13:19:08,100.0
2024-03-04,aws,k8s-stg-3-us-east-1,72,0,72,68.07600000000001,0.0,68.07600000000001,,,0.9455000000000001,,,,2025-03-12 13:19:08,100.0
2024-03-05,aws,k8s-stg-3-us-east-1,64,0,64,68.07600000000001,0.0,68.07600000000001,,,1.0636875000000001,,,,2025-03-12 13:19:08,100.0
2024-03-06,aws,k8s-stg-3-us-east-1,64,0,64,68.45400000000001,0.0,68.45400000000001,,,1.0695937500000001,,,,2025-03-12 13:19:08,100.0
2024-03-07,aws,k8s-stg-3-us-east-1,64,0,64,70.47,0.0,70.47,,,1.10109375,,,,2025-03-12 13:19:08,100.0
2024-03-08,aws,k8s-stg-3-us-east-1,64,0,64,69.21000000000001,0.0,69.21000000000001,,,1.0814062500000001,,,,2025-03-12 13:19:08,100.0
2024-03-09,aws,k8s-stg-3-us-east-1,64,0,64,71.47800000000001,0.0,71.47800000000001,,,1.1168437500000001,,,,2025-03-12 13:19:08,100.0
2024-03-10,aws,k8s-stg-3-us-east-1,64,0,64,70.218,0.0,70.218,,,1.09715625,,,,2025-03-12 13:19:08,100.0
2024-03-11,aws,k8s-stg-3-us-east-1,64,0,64,70.47,0.0,70.47,,,1.10109375,,,,2025-03-12 13:19:08,100.0
2024-03-12,aws,k8s-stg-3-us-east-1,64,0,64,68.25547944,0.0,68.25547944,,,1.06649186625,,,,2025-03-12 13:19:08,100.0
2024-03-13,aws,k8s-stg-3-us-east-1,72,0,72,66.06728028,0.0,66.06728028,,,0.9176011150000001,,,,2025-03-12 13:19:08,100.0
2024-03-14,aws,k8s-stg-3-us-east-1,64,0,64,68.58,0.0,68.58,,,1.0715625,,,,2025-03-12 13:19:08,100.0
2024-03-15,aws,k8s-stg-3-us-east-1,64,0,64,67.06800000000001,0.0,67.06800000000001,,,1.0479375000000002,,,,2025-03-12 13:19:08,100.0
2024-03-16,aws,k8s-stg-3-us-east-1,64,0,64,67.06800000000001,0.0,67.06800000000001,,,1.0479375000000002,,,,2025-03-12 13:19:08,100.0
