date,region,instance_type,purchase_type,number_of_cpus,usage_hours,total_cost,cost_per_hour
2023-12-17,us-east-1,m6g.2xlarge,Savings Plans,8,33.477778,10.311155624,0.308
2023-12-17,us-east-1,m6g.2xlarge,Standard Reserved,8,2.25,0.0,0.0
2023-12-17,us-east-1,m6g.4xlarge,Savings Plans,16,35.734722,22.012588752,0.616
2023-12-17,us-east-1,m6i.4xlarge,Savings Plans,16,32.728333,25.135359744,0.768
2023-12-17,us-east-1,m6i.4xlarge,Standard Reserved,16,3.0,0.0,0.0
2023-12-17,us-east-1,r5.2xlarge,Standard Reserved,8,71.480278,0.0,0.0
2023-12-17,us-east-1,r5.4xlarge,Standard Reserved,16,35.752778,0.0,0.0
2023-12-18,us-east-1,m6g.2xlarge,Savings Plans,8,44.5,13.706,0.308
2023-12-18,us-east-1,m6g.2xlarge,Standard Reserved,8,3.5,0.0,0.0
2023-12-18,us-east-1,m6g.4xlarge,Savings Plans,16,48.0,29.568,0.616
2023-12-18,us-east-1,m6i.4xlarge,Savings Plans,16,38.5,29.568,0.768
2023-12-18,us-east-1,m6i.4xlarge,Standard Reserved,16,9.5,0.0,0.0
2023-12-18,us-east-1,r5.2xlarge,Standard Reserved,8,96.0,0.0,0.0
2023-12-18,us-east-1,r5.4xlarge,Standard Reserved,16,48.0,0.0,0.0
2023-12-19,us-east-1,m6g.2xlarge,Savings Plans,8,44.5,13.706,0.308
2023-12-19,us-east-1,m6g.2xlarge,Standard Reserved,8,3.5,0.0,0.0
2023-12-19,us-east-1,m6g.4xlarge,Savings Plans,16,48.0,29.568,0.616
2023-12-19,us-east-1,m6i.4xlarge,Savings Plans,16,33.75,25.92,0.768
2023-12-19,us-east-1,m6i.4xlarge,Standard Reserved,16,14.25,0.0,0.0
2023-12-19,us-east-1,r5.2xlarge,Standard Reserved,8,96.0,0.0,0.0
2023-12-19,us-east-1,r5.4xlarge,Standard Reserved,16,48.0,0.0,0.0
2023-12-20,us-east-1,m6g.2xlarge,Savings Plans,8,46.25,14.245,0.308
2023-12-20,us-east-1,m6g.2xlarge,Standard Reserved,8,1.75,0.0,0.0
2023-12-20,us-east-1,m6g.4xlarge,Savings Plans,16,48.0,29.568,0.616
2023-12-20,us-east-1,m6i.4xlarge,Savings Plans,16,39.415278,30.270933504,0.7679999999999999
2023-12-20,us-east-1,m6i.4xlarge,Standard Reserved,16,8.584722,0.0,0.0
2023-12-20,us-east-1,r5.2xlarge,Standard Reserved,8,96.0,0.0,0.0
2023-12-20,us-east-1,r5.4xlarge,Standard Reserved,16,48.0,0.0,0.0
2023-12-21,us-east-1,m6g.2xlarge,Savings Plans,8,42.180556,12.991611248,0.308
2023-12-21,us-east-1,m6g.2xlarge,Standard Reserved,8,1.25,0.0,0.0
2023-12-21,us-east-1,m6g.4xlarge,Savings Plans,16,43.460278,26.771531248,0.616
2023-12-21,us-east-1,m6i.4xlarge,Savings Plans,16,39.676667,30.471680256,0.7679999999999999
2023-12-21,us-east-1,m6i.4xlarge,Standard Reserved,16,3.75,0.0,0.0
2023-12-21,us-east-1,r5.2xlarge,Standard Reserved,8,86.8675,0.0,0.0
2023-12-21,us-east-1,r5.4xlarge,Standard Reserved,16,43.464444,0.0,0.0
2023-12-22,us-east-1,m6g.2xlarge,Savings Plans,8,24.0,7.392,0.308
2023-12-22,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2023-12-22,us-east-1,m6i.4xlarge,Savings Plans,16,19.5,14.976,0.768
2023-12-22,us-east-1,m6i.4xlarge,Standard Reserved,16,4.5,0.0,0.0
2023-12-22,us-east-1,r5.2xlarge,Standard Reserved,8,48.0,0.0,0.0
2023-12-22,us-east-1,r5.4xlarge,Standard Reserved,16,24.0,0.0,0.0
2023-12-23,us-east-1,m6g.2xlarge,Savings Plans,8,24.0,7.392,0.308
2023-12-23,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2023-12-23,us-east-1,m6i.4xlarge,Savings Plans,16,18.25,14.016,0.768
2023-12-23,us-east-1,m6i.4xlarge,Standard Reserved,16,5.75,0.0,0.0
2023-12-23,us-east-1,r5.2xlarge,Standard Reserved,8,48.0,0.0,0.0
2023-12-23,us-east-1,r5.4xlarge,Standard Reserved,16,24.0,0.0,0.0
2023-12-24,us-east-1,m6g.2xlarge,Savings Plans,8,24.0,7.392,0.308
2023-12-24,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2023-12-24,us-east-1,m6i.4xlarge,Savings Plans,16,16.5,12.672,0.768
2023-12-24,us-east-1,m6i.4xlarge,Standard Reserved,16,7.5,0.0,0.0
2023-12-24,us-east-1,r5.2xlarge,Standard Reserved,8,48.0,0.0,0.0
2023-12-24,us-east-1,r5.4xlarge,Standard Reserved,16,24.0,0.0,0.0
2023-12-25,us-east-1,m6g.2xlarge,Savings Plans,8,24.0,7.392,0.308
2023-12-25,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2023-12-25,us-east-1,m6i.4xlarge,Savings Plans,16,14.423333,11.077119744,0.7680000000000001
2023-12-25,us-east-1,m6i.4xlarge,Standard Reserved,16,9.576667,0.0,0.0
2023-12-25,us-east-1,r5.2xlarge,Standard Reserved,8,48.0,0.0,0.0
2023-12-25,us-east-1,r5.4xlarge,Standard Reserved,16,24.0,0.0,0.0
2023-12-26,us-east-1,m6g.2xlarge,Savings Plans,8,24.0,7.392,0.308
2023-12-26,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2023-12-26,us-east-1,m6i.4xlarge,Savings Plans,16,18.0,13.824,0.768
2023-12-26,us-east-1,m6i.4xlarge,Standard Reserved,16,6.0,0.0,0.0
2023-12-26,us-east-1,r5.2xlarge,Standard Reserved,8,48.0,0.0,0.0
2023-12-26,us-east-1,r5.4xlarge,Standard Reserved,16,24.0,0.0,0.0
2023-12-27,us-east-1,m6g.2xlarge,Savings Plans,8,24.0,7.392,0.308
2023-12-27,us-east-1,m6g.4xlarge,Savings Plans,16,24.0,14.784,0.616
2023-12-27,us-east-1,m6i.4xlarge,Savings Plans,16,17.125,13.152,0.7679999999999999
