date,region,instance_type,purchase_type,number_of_cpus,usage_hours,total_cost,cost_per_hour
2023-12-17,eu-central-1,c5a.2xlarge,On Demand,8,4.0,1.392,0.348
2023-12-17,eu-central-1,c5a.2xlarge,Savings Plans,8,44.0,15.312,0.348
2023-12-17,eu-central-1,c5a.4xlarge,On Demand,16,3.0,2.088,0.6960000000000001
2023-12-17,eu-central-1,c5a.4xlarge,Savings Plans,16,21.0,14.616,0.696
2023-12-17,eu-central-1,c5a.8xlarge,On Demand,32,10.9227565324,15.2044770931,1.3919999999999269
2023-12-17,eu-central-1,c5a.8xlarge,Savings Plans,32,61.0772434676,85.0195229069,1.392000000000013
2023-12-17,eu-central-1,m6a.2xlarge,Savings Plans,8,240.0,99.36,0.414
2023-12-17,eu-central-1,m6a.4xlarge,Savings Plans,16,96.0,79.488,0.828
2023-12-17,eu-central-1,m6a.8xlarge,Savings Plans,32,48.0,79.488,1.656
2023-12-17,eu-central-1,m6g.2xlarge,Savings Plans,8,63.855278,23.498742304,0.368
2023-12-17,eu-central-1,m6g.2xlarge,Standard Reserved,8,8.144722,0.0,0.0
2023-12-17,eu-central-1,m6g.4xlarge,Savings Plans,16,48.0,35.328,0.7360000000000001
2023-12-17,eu-central-1,r6a.2xlarge,Savings Plans,8,24.0,13.1328,0.5472
2023-12-17,eu-central-1,r6a.4xlarge,Savings Plans,16,24.0,26.2656,1.0944
2023-12-17,eu-central-1,r6g.4xlarge,Savings Plans,16,48.0,46.6944,0.9728
2023-12-17,eu-central-1,r6g.8xlarge,Savings Plans,32,48.0,93.3888,1.9456
2023-12-18,eu-central-1,c5a.2xlarge,On Demand,8,22.4827799153,7.8240074105,0.34799999999891473
2023-12-18,eu-central-1,c5a.2xlarge,Savings Plans,8,25.5172200847,8.8799925895,0.3480000000009562
2023-12-18,eu-central-1,c5a.4xlarge,On Demand,16,16.0,11.136,0.696
2023-12-18,eu-central-1,c5a.4xlarge,Savings Plans,16,8.0,5.568,0.696
2023-12-18,eu-central-1,c5a.8xlarge,On Demand,32,50.0458491004,69.6638219478,1.3920000000008632
2023-12-18,eu-central-1,c5a.8xlarge,Savings Plans,32,21.9541508996,30.5601780522,1.3919999999980324
2023-12-18,eu-central-1,m6a.2xlarge,Savings Plans,8,240.0,99.36,0.414
2023-12-18,eu-central-1,m6a.4xlarge,Savings Plans,16,96.0,79.488,0.828
2023-12-18,eu-central-1,m6a.8xlarge,Savings Plans,32,48.0,79.488,1.656
2023-12-18,eu-central-1,m6g.2xlarge,Savings Plans,8,59.815,22.01192,0.368
